                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.98708,                0.86507,                 1.5194,                0.91164,                0.82203,                0.89213,                0.67207,                0.93167,                 0.7957,                 1.6044,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.0067,                 0.8774,                 1.5329,                0.85371,                0.81356,                0.87112,                0.64094,                 1.0128,                0.82321,                 1.6734,               0.001109,               0.001109,               0.001109
                     93,                 1.0201,                0.87387,                  1.549,                0.90348,                0.82203,                0.89403,                0.66903,                0.96395,                0.79637,                 1.6241,              0.0010991,              0.0010991,              0.0010991
                     94,                0.99255,                0.85332,                 1.5097,                0.91466,                0.79661,                0.89235,                0.64314,                 1.0002,                0.84269,                 1.6809,              0.0010892,              0.0010892,              0.0010892
                     95,                0.99611,                0.85556,                 1.5222,                0.94165,                0.76271,                0.89623,                0.68488,                0.92788,                0.76374,                 1.5857,              0.0010793,              0.0010793,              0.0010793
                     96,                0.97431,                0.84744,                 1.5194,                0.95211,                0.80508,                 0.9078,                0.67513,                0.93627,                 0.7161,                  1.605,              0.0010694,              0.0010694,              0.0010694
                     97,                0.97176,                0.83868,                 1.5043,                0.91176,                0.81356,                0.90358,                0.67489,                0.96334,                0.75243,                 1.6395,              0.0010595,              0.0010595,              0.0010595
                     98,                0.95649,                0.83527,                 1.5047,                0.94096,                0.81041,                0.90819,                0.67675,                0.93792,                0.75448,                 1.5891,              0.0010496,              0.0010496,              0.0010496
                     99,                0.98025,                0.85083,                  1.518,                0.92051,                0.79661,                0.89169,                0.66206,                0.99557,                0.79816,                 1.6561,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.0011,                0.85237,                 1.5289,                0.88493,                0.82203,                0.89299,                0.66544,                0.99379,                0.75778,                 1.6465,              0.0010298,              0.0010298,              0.0010298
                    101,                0.98988,                0.84959,                 1.5258,                0.93887,                0.78091,                0.90107,                0.66344,                0.99143,                 0.7329,                 1.6423,              0.0010199,              0.0010199,              0.0010199
                    102,                0.93891,                0.80168,                 1.4888,                0.95143,                0.78814,                0.89698,                0.67427,                0.94097,                0.73586,                 1.6105,                0.00101,                0.00101,                0.00101
                    103,                0.95553,                0.78721,                 1.4952,                0.96654,                0.81356,                 0.9043,                0.69185,                0.91017,                0.76086,                  1.541,              0.0010001,              0.0010001,              0.0010001
                    104,                0.94516,                0.79151,                 1.4952,                0.91488,                0.80508,                0.89294,                0.66808,                0.94057,                0.79383,                 1.5894,              0.0009902,              0.0009902,              0.0009902
                    105,                0.95864,                0.82807,                 1.4952,                0.90163,                0.83051,                0.90572,                0.68504,                 0.9482,                0.78621,                 1.5978,              0.0009803,              0.0009803,              0.0009803
                    106,                 0.9636,                0.81615,                 1.5081,                0.86865,                0.85593,                0.90516,                0.66375,                0.95788,                0.76384,                 1.6014,              0.0009704,              0.0009704,              0.0009704
                    107,                0.98298,                0.85368,                 1.5277,                0.88342,                0.80508,                0.87205,                0.64116,                  1.036,                0.85489,                 1.7113,              0.0009605,              0.0009605,              0.0009605
                    108,                0.97281,                0.82861,                 1.5012,                0.92674,                0.78814,                0.88904,                0.63333,                 1.0022,                0.84096,                 1.6596,              0.0009506,              0.0009506,              0.0009506
                    109,                0.94822,                0.80296,                 1.4833,                0.96037,                0.82147,                0.89953,                0.68154,                0.94053,                0.76285,                 1.6141,              0.0009407,              0.0009407,              0.0009407
                    110,                0.92281,                0.76857,                 1.4516,                0.93117,                0.78814,                0.90394,                0.66989,                0.97265,                0.77629,                 1.6413,              0.0009308,              0.0009308,              0.0009308
                    111,                0.92904,                0.79086,                 1.4745,                0.91088,                0.84746,                0.90813,                0.67634,                0.94092,                0.72385,                   1.59,              0.0009209,              0.0009209,              0.0009209
                    112,                0.94459,                0.82057,                 1.4833,                0.90093,                0.83051,                0.90206,                0.69014,                0.96372,                0.74295,                 1.6108,               0.000911,               0.000911,               0.000911
                    113,                0.90721,                0.76531,                 1.4661,                0.91334,                0.80387,                0.90884,                0.68442,                0.94563,                0.73606,                  1.626,              0.0009011,              0.0009011,              0.0009011
                    114,                0.91371,                0.76044,                 1.4704,                0.92994,                0.83898,                0.92155,                0.68699,                0.92532,                0.72127,                  1.587,              0.0008912,              0.0008912,              0.0008912
                    115,                0.93297,                0.80557,                 1.4812,                0.95532,                0.81356,                0.91064,                0.69104,                0.94769,                 0.7123,                 1.6117,              0.0008813,              0.0008813,              0.0008813
                    116,                0.91253,                0.77682,                 1.4699,                0.90403,                0.84746,                0.91025,                0.68617,                0.93123,                0.76539,                 1.5806,              0.0008714,              0.0008714,              0.0008714
                    117,                0.91366,                0.77585,                 1.4516,                0.94948,                0.77119,                0.90344,                0.66554,                0.96005,                0.77167,                 1.6382,              0.0008615,              0.0008615,              0.0008615
                    118,                0.90556,                0.75917,                 1.4373,                0.90745,                0.83097,                0.91807,                0.68547,                0.93893,                0.70439,                 1.5943,              0.0008516,              0.0008516,              0.0008516
                    119,                0.90779,                0.77491,                 1.4598,                0.92542,                0.84125,                0.91841,                0.68337,                0.93082,                0.71809,                 1.5926,              0.0008417,              0.0008417,              0.0008417
                    120,                0.87552,                0.75135,                 1.4177,                0.92374,                0.82203,                0.90782,                0.69126,                0.92844,                0.69342,                 1.5911,              0.0008318,              0.0008318,              0.0008318
                    121,                0.93579,                0.78859,                 1.4713,                0.93332,                0.83037,                0.91313,                0.68177,                0.94036,                0.72366,                 1.5742,              0.0008219,              0.0008219,              0.0008219
                    122,                0.87218,                0.75089,                 1.4313,                0.95295,                0.81356,                0.90018,                  0.683,                0.94865,                0.69106,                 1.6243,               0.000812,               0.000812,               0.000812
                    123,                0.90152,                0.78668,                 1.4458,                0.94044,                0.80292,                0.90394,                0.67965,                0.95739,                0.75106,                 1.6122,              0.0008021,              0.0008021,              0.0008021
                    124,                 0.9098,                 0.7738,                 1.4441,                0.95933,                0.79958,                 0.9161,                0.67546,                0.93583,                0.73524,                 1.5998,              0.0007922,              0.0007922,              0.0007922
                    125,                0.86898,                0.74672,                  1.433,                0.92299,                0.80508,                0.91481,                0.68183,                0.93593,                0.69877,                 1.5978,              0.0007823,              0.0007823,              0.0007823
                    126,                0.87889,                0.75113,                 1.4321,                0.94114,                0.81356,                 0.9083,                0.68739,                0.90929,                0.70884,                 1.5879,              0.0007724,              0.0007724,              0.0007724
                    127,                0.87035,                0.73521,                 1.4232,                0.92315,                0.81437,                0.91239,                0.69669,                0.88485,                0.69639,                 1.5453,              0.0007625,              0.0007625,              0.0007625
                    128,                0.86275,                0.70858,                 1.4171,                0.94992,                0.80372,                0.91123,                0.68847,                0.94928,                0.69096,                  1.605,              0.0007526,              0.0007526,              0.0007526
                    129,                0.89388,                0.73396,                 1.4453,                0.94106,                0.81188,                0.90051,                0.68533,                0.90595,                0.68042,                 1.5663,              0.0007427,              0.0007427,              0.0007427
                    130,                0.87094,                0.72698,                 1.4294,                0.93062,                0.82203,                0.91167,                0.69658,                0.90892,                0.65908,                 1.5606,              0.0007328,              0.0007328,              0.0007328
                    131,                0.88846,                0.76219,                 1.4257,                0.94763,                0.82203,                0.92829,                0.69952,                0.92186,                0.64369,                 1.5566,              0.0007229,              0.0007229,              0.0007229
                    132,                0.90885,                0.75363,                 1.4467,                0.89587,                0.88136,                0.92602,                0.69909,                 0.9246,                0.67308,                 1.5546,               0.000713,               0.000713,               0.000713
                    133,                0.87394,                0.74213,                 1.4272,                0.89168,                0.87288,                0.92826,                0.69628,                0.94731,                0.67203,                  1.614,              0.0007031,              0.0007031,              0.0007031
                    134,                0.86666,                0.70866,                  1.425,                0.90204,                0.86441,                0.91823,                0.70465,                 0.8935,                0.67124,                 1.5526,              0.0006932,              0.0006932,              0.0006932
                    135,                0.88382,                0.72006,                 1.4306,                0.91703,                0.84297,                0.90415,                 0.6799,                0.91614,                0.72733,                 1.6026,              0.0006833,              0.0006833,              0.0006833
                    136,                0.85593,                0.69018,                 1.4097,                0.90751,                0.85593,                0.90769,                0.69316,                0.91492,                0.63453,                 1.5841,              0.0006734,              0.0006734,              0.0006734
                    137,                0.87131,                0.72514,                 1.4125,                0.95104,                0.83898,                0.92119,                0.69659,                0.91429,                0.66095,                 1.5523,              0.0006635,              0.0006635,              0.0006635
                    138,                 0.8574,                 0.7125,                 1.4152,                0.90985,                0.85529,                0.92234,                0.70541,                0.91028,                0.68003,                 1.5361,              0.0006536,              0.0006536,              0.0006536
                    139,                0.85878,                0.74978,                 1.4116,                0.95688,                0.81356,                0.92221,                0.70963,                 0.8918,                 0.6598,                 1.5173,              0.0006437,              0.0006437,              0.0006437
                    140,                0.88105,                0.74332,                 1.4345,                0.91887,                0.86388,                0.91453,                0.71582,                0.89351,                0.64028,                 1.5239,              0.0006338,              0.0006338,              0.0006338
                    141,                0.83686,                0.70046,                  1.387,                0.90238,                0.86176,                0.91368,                0.71214,                 0.8882,                0.67042,                 1.5338,              0.0006239,              0.0006239,              0.0006239
                    142,                0.84903,                0.68233,                 1.4056,                0.93129,                0.82203,                0.90861,                0.68353,                0.94648,                0.67531,                 1.5888,               0.000614,               0.000614,               0.000614
                    143,                0.85269,                 0.7024,                 1.3933,                 0.9065,                0.82203,                0.90352,                0.69339,                0.89734,                  0.668,                 1.5498,              0.0006041,              0.0006041,              0.0006041
                    144,                0.85579,                0.74402,                 1.3855,                0.91753,                0.84863,                0.91191,                0.70181,                 0.9098,                0.67654,                 1.5138,              0.0005942,              0.0005942,              0.0005942
                    145,                0.83971,                0.71888,                 1.4061,                0.95226,                0.87288,                0.91967,                0.71209,                 0.8935,                0.63487,                 1.5189,              0.0005843,              0.0005843,              0.0005843
                    146,                  0.826,                0.66594,                 1.3837,                0.91958,                0.87214,                0.92017,                0.72553,                  0.877,                0.62352,                 1.5008,              0.0005744,              0.0005744,              0.0005744
                    147,                 0.8197,                0.69964,                 1.3767,                0.94166,                0.83898,                0.91742,                0.72546,                0.86349,                0.61521,                 1.5155,              0.0005645,              0.0005645,              0.0005645
                    148,                0.85157,                0.70645,                 1.4082,                0.90992,                0.85607,                 0.9212,                0.71769,                0.88767,                0.64237,                 1.5418,              0.0005546,              0.0005546,              0.0005546
                    149,                0.81548,                0.69701,                 1.3723,                0.91989,                0.83898,                0.91635,                0.70771,                 0.8768,                0.65929,                 1.5319,              0.0005447,              0.0005447,              0.0005447
                    150,                0.81307,                0.66351,                 1.3753,                0.90264,                0.86422,                0.91957,                0.71016,                0.89173,                0.66059,                  1.537,              0.0005348,              0.0005348,              0.0005348
